Word,Frequency
the,48
in,24
and,21
sinkholes,20
a,19
of,18
to,14
is,12
are,11
water,10
that,9
it,9
surface,9
meters,8
soil,7
or,7
for,6
sinkhole,6
by,6
can,6
jeff,5
collapse,5
deep,5
as,5
be,5
into,4
i,4
from,4
some,4
have,4
not,4
too,4
rock,4
they,4
underground,4
space,4
we,4
when,3
florida,3
man,3
jeremy,3
seeing,3
tried,3
t,3
was,3
hole,3
up,3
caused,3
around,3
world,3
wide,3
most,3
occur,3
areas,3
these,3
sometimes,3
this,3
may,3
heavy,3
out,2
his,2
s,2
all,2
earth,2
rescue,2
him,2
opens,2
which,2
land,2
large,2
long,2
china,2
form,2
underwater,2
blue,2
belize,2
where,2
beneath,2
many,2
parts,2
u,2
also,2
common,2
rainwater,2
cracks,2
continues,2
above,2
gradually,2
on,2
collapses,2
happens,2
levels,2
another,2
trigger,2
increase,2
about,2
made,2
human,2
such,2
construction,2
because,2
often,2
middle,2
city,2
an,2
area,2
prevented,2
however,2
if,2
look,2
ways,2
prevent,2
more,2
bush,1
year,1
old,1
screamed,1
help,1
brother,1
ran,1
bedroom,1
furnishings,1
had,1
vanished,1
desperately,1
he,1
didn,1
stop,1
until,1
police,1
arrived,1
so,1
hard,1
everything,1
could,1
but,1
couldn,1
get,1
cried,1
instantly,1
pulled,1
ground,1
vary,1
size,1
enough,1
swallow,1
entire,1
buildings,1
been,1
time,1
said,1
ancient,1
maya,1
believed,1
were,1
passageways,1
dead,1
unlike,1
dangerous,1
destructive,1
ruinous,1
attract,1
tourists,1
who,1
interested,1
mystery,1
beauty,1
nature,1
notable,1
include,1
sima,1
humboldt,1
venezuela,1
xiaozhai,1
tiankeng,1
called,1
holes,1
great,1
one,1
spectacular,1
typically,1
limestone,1
carbonate,1
sandstone,1
other,1
soft,1
easily,1
worn,1
away,1
kinds,1
rocks,1
found,1
texas,1
kentucky,1
k,1
mexico,1
slovenia,1
croatia,1
seeps,1
down,1
through,1
eventually,1
reaches,1
bedrock,1
below,1
slowly,1
continually,1
over,1
hundreds,1
thousands,1
years,1
erodes,1
small,1
creating,1
process,1
washed,1
creates,1
seen,1
becomes,1
support,1
though,1
final,1
suddenly,1
factor,1
triggers,1
change,1
example,1
during,1
periods,1
drought,1
will,1
fall,1
once,1
supported,1
become,1
weaker,1
rapid,1
sudden,1
rain,1
add,1
dramatically,1
weight,1
making,1
bear,1
bring,1
days,1
indirectly,1
related,1
activities,1
drilling,1
mining,1
broken,1
pipes,1
traffic,1
excessive,1
use,1
groundwater,1
causes,1
especially,1
dramatic,1
effects,1
street,1
housing,1
recently,1
opened,1
urban,1
resulting,1
tragic,1
accidents,1
guatemala,1
approximately,1
collapsed,1
swallowing,1
three,1
story,1
factory,1
killing,1
people,1
due,1
tropical,1
storm,1
agatha,1
leakage,1
local,1
waste,1
pipe,1
generally,1
speaking,1
naturally,1
occurring,1
cannot,1
you,1
live,1
happened,1
before,1
possible,1
warnings,1
leaning,1
trees,1
doors,1
windows,1
don,1
close,1
properly,1
collecting,1
unusual,1
spots,1
carelessness,1
thorough,1
testing,1
prior,1
maintaining,1
plumbing,1
systems,1
best,1
formation,1
widespread,1
events,1
like,1
hurricanes,1
earthquakes,1
very,1
localized,1
does,1
mean,1
should,1
ignore,1
possibility,1
our,1
population,1
grows,1
development,1
seem,1
stories,1
humans,1
being,1
affected,1
them,1
detect,1
easier,1
somewhere,1
else,1
